question_no,question,1,2,3,4,correct_ans
101, "Which country hosted the FIFA Men's World Cup 2023?", "USA", "Qatar", "Australia and New Zealand", "Mexico", "Australia and New Zealand"
102, "Which country won the 2023 FIFA Women's World Cup?", "USA", "Brazil", "Spain", "Germany", "Spain"
103, "Who became the 1st Indian woman to win an Olympic gold medal in gymnastics?", "Dipa Karmakar", "Saina Nehwal", "Jyoti Rathe", "Mary Kom", "Dipa Karmakar"
104, "Which state launched the Naya Savera Scheme?", "Uttar Pradesh", "Rajasthan", "Maharashtra", "None of the above", "None of the above"
105, "Who won the Whitley Gold Award in 2024?", "Ravi Kannan", "Purnima Devi Barman", "Alok Shukla", "Jenny Erpenbeck", "Purnima Devi Barman"
106, "Which organization released the World Press Freedom Index 2024?", "World Bank", "UNESCO", "Reporters Without Borders", "International Press Association", "Reporters Without Borders"
107, "Which state launched the ‘Nakshastra Sabha’ astrotourism campaign?", "Uttarakhand", "Himachal Pradesh", "Gujarat", "Maharashtra", "Uttarakhand"
108, "Who is the Principal Secretary to PM Modi?", "P.K. Mishra", "Ajit Doval", "Kapil Sibal", "Sanjay Bhalla", "P.K. Mishra"
109, "What was the name of the Cyclone that hit Madagascar?", "Cyclone Tauktae", "Cyclone Nivar", "Cyclone Gamane", "Cyclone Vayu", "Cyclone Gamane"
110, "Which university ranked 1st in India in the QS World University Rankings 2024?", "IIT Delhi", "IIT Bombay", "IIT Madras", "IIT Kanpur", "IIT Bombay"
111, "Which state introduced the Mukhymantri Majhi Ladki Behan Scheme?", "Maharashtra", "Gujarat", "Rajasthan", "Karnataka", "Maharashtra"
112, "Who was appointed as UNICEF India's National Ambassador?", "Priyanka Chopra", "Kareena Kapoor", "Alia Bhatt", "Deepika Padukone", "Kareena Kapoor"
113, "Which country ranked 1st in the World Economic Forum’s Energy Transition Index 2024?", "Sweden", "Norway", "Denmark", "Finland", "Sweden"
114, "Which Indian cricketer scored over 200 runs in a single day's play in a test match?", "Mithali Raj", "Smriti Mandhana", "Shafali Verma", "Harmanpreet Kaur", "Shafali Verma"
115, "Who was the Best Actress award winner at the 69th National Film Awards?", "Deepika Padukone", "Alia Bhatt", "Priyanka Chopra", "Kangana Ranaut", "Alia Bhatt"
116, "Which Indian naval officer became the 1st woman helicopter pilot?", "Sunita Deshmukh", "Anamika B. Rajeev", "Shobha Yadav", "Durga Bai Majhwar", "Anamika B. Rajeev"
117, "Who was re-appointed as the Prime Minister of Russia in 2024?", "Vladimir Putin", "Mikhail Mishustin", "Dmitry Medvedev", "Alexei Navalny", "Mikhail Mishustin"
118, "Which movie won the Best Film award at the 69th National Film Awards?", "RRR", "Rocketry: The Nambi Effect", "Pushpa", "Gangubai Kathiawadi", "Rocketry: The Nambi Effect"
119, "Who won the International Booker Prize 2024?", "Arundhati Roy", "Jenny Erpenbeck", "Naomi Klein", "Michael Hofmann", "Jenny Erpenbeck"
120, "Who is the next Chief of the Army Staff of India?", "Ajit Doval", "P.K. Mishra", "Lt. Gen. Upendra Dwivedi", "Bipin Rawat", "Lt. Gen. Upendra Dwivedi"
121, "Which city in India was the first to deploy police drones?", "Mumbai", "Chennai", "Delhi", "Kolkata", "Chennai"
122, "Where was India's 1st Constitution Park developed?", "Mumbai", "Pune", "Bangalore", "Hyderabad", "Pune"
123, "Which state launched the 'Pirul Lao-Paise Lao' campaign?", "Himachal Pradesh", "Uttarakhand", "Maharashtra", "Rajasthan", "Uttarakhand"
124, "Who won the prestigious Shaw Prize in Astronomy 2024?", "Stephen Hawking", "Subrahmanyan Chandrasekhar", "Shrinivas R. Kulkarni", "Roger Penrose", "Shrinivas R. Kulkarni"
125, "Who was appointed as the new president of ASSOCHAM in 2024?", "Kapil Sibal", "Sanjay Nayar", "Ajit Doval", "P.K. Mishra", "Sanjay Nayar"
126, "Who became the 1st Indian woman jury member at the Summer Olympics?", "Dipa Karmakar", "Bilquis Mir", "Saina Nehwal", "P.V. Sindhu", "Bilquis Mir"
127, "Who won the 2024 International Booker Prize?", "Jenny Erpenbeck", "Naomi Klein", "Michael Hofmann", "Alok Shukla", "Jenny Erpenbeck"
128, "What is the new name of Udhampur Railway Station in J&K?", "Srinagar", "Anantnag", "Tushar Mahajan", "Jammu", "Tushar Mahajan"
129, "Where is India’s first multi-purpose green hydrogen pilot project located?", "Himachal Pradesh", "Gujarat", "Maharashtra", "Uttarakhand", "Himachal Pradesh"
130, "Which actress won the 2024 PEN Pinter Prize?", "Alia Bhatt", "Arundhati Roy", "Deepika Padukone", "Priyanka Chopra", "Arundhati Roy"
131, "Which Indian cricketer won the 'Orange Cap' in IPL 2024?", "Virat Kohli", "Rohit Sharma", "MS Dhoni", "Harshal Patel", "Virat Kohli"
132, "Which country became the 99th member of the International Solar Alliance (ISA)?", "Brazil", "Malta", "Spain", "Italy", "Spain"
133, "Who became India's 1st female helicopter pilot in the Navy?", "Anamika B. Rajeev", "Sunita Deshmukh", "Durga Bai Majhwar", "Shobha Yadav", "Anamika B. Rajeev"
134, "What is the name of the anti-paper leak bill introduced in 2024?", "Public Examination Bill", "Education Reforms Bill", "Anti-Cheating Bill", "Exam Fairness Bill", "Public Examination Bill"
