"question_no","question","1","2","3","4"
"01","भारत ने समुद्री प्रदूषण और जैविक अपशिष्ट से ग्रीन हाइड्रोजन उत्पादन में संयुक्त अनुसंधान को बढ़ावा देने के किसके साथ मिलकर दो बड़े प्रोजेक्ट शुरू किए हैं?","UNESCO","EU","UNEP","IEU"
"02","अडानी समूह ने किस देश के साथ 5,000 मेगावाट (मेगावाट) की जलविद्युत परियोजनाओं को संयुक्त रूप से विकसित करने के लिए एक समझौता ज्ञापन (एमओयू) पर हस्ताक्षर किया है?","नेपाल","श्रीलंका","भूटान","बांग्लादेश"
"03","वर्ल्ड ज्यूरिस्ट एसोसिएशन (WJA) द्वारा 'मेडल ऑफ ऑनर’ से सम्मानित होने वाले पहले भारतीय वकील कौन बन गए हैं?","भुवन रिभु","बी आर गवाई","डी वाई चंद्रचूड़","अरुण मिश्रा"
"04","किस राज्य में स्थित जल विरासत संग्रहालय को यूनेस्को के जल संग्रहालयों के वैश्विक नेटवर्क (डब्ल्यूएएमयू-नेट) की सूची में शामिल किया गया है?","उदयपुर, राजस्थान","पुणे, महाराष्ट्र","कोझीकोड, केरल","पटना, बिहार"
"05","समुद्री जल के खारे पानी से लवणों को अलग करने की प्रक्रिया के लिए नैनोपोरस यानी सूक्ष्म छिद्रों की कई परतों वाली पोलिमेरिक झिल्ली किसने विकसित की है?","ISRO","IISc","DRDO","CSIR"
"06","राष्ट्रीय सुरक्षा की वजह से जामिया, जेएनयू और अदाणी एयरपोर्ट्स ने किस देश के साथ से समझौते रद्द कर दिए हैं?","चीन","यूएई","तुर्की","पाकिस्तान"
"07","खेलो इंडिया यूथ गेम्स के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. खेलो इंडिया यूथ गेम्स 7th संस्करण का आयोजन बिहार में हुआ है। 2. महाराष्ट्र 158, हरियाणा 117, राजस्थान 60 पदक जीतकर क्रमशः प्रथम, द्वितीय और तीसरे स्थान पर रहा। 3. बिहार के पटना में खेलो इंडिया यूथ गेम्स 4 मई से शुरू हुए थे। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"08","सोलर डिफेंस एंड एयरोस्पेस लिमिटेड (SDAL) द्वारा डिजाइन और स्वदेशी रूप से विकसित की गई भार्गवस्त्र क्या है?","रॉकेट लॉचर","मिसाइल रोधी प्रणाली","ड्रोन रोधी प्रणाली","वायु रक्षा प्रणाली"
"09","केंद्रीय मंत्रिमंडल ने इंडिया सेमीकंडक्टर मिशन (आईएसएम) के तहत _______ में सेमीकंडक्टर यूनिट की स्थापना को मंजूरी दी है।","साणंद","धौलेरा","मोरीगांव","नोएडा"
"10","_______ और बेंगलुरु में देश के पहले 3 नैनोमीटर (3nm) चिप डिजाइन सेंटर का उद्घाटन केंद्रीय इलेक्ट्रॉनिक्स, सूचना प्रौद्योगिकी मंत्री अश्विनी वैष्णव ने किया है।","नोएडा","बेंगलुरु","हैदराबाद","साणंद"
"11","राजनाथ सिंह ने _______ में सबसे बड़े ब्रह्मोस उत्पादन संयंत्र का उद्घाटन किया है।","लखनऊ","कानपुर","बरेली","बलिया"
"12","दुनिया की पहली राष्ट्रीय क्रिप्टोकरेंसी पर्यटन भुगतान प्रणाली किस देश में शुरू हुई है?","नेपाल","श्रीलंका","भूटान","बांग्लादेश"
"13","_______ विधानसभा पूरी तरह सौर ऊर्जा से संचालित होने वाली देश की पहली विधानसभा बन जाएगी।","दिल्ली","बिहार","राजस्थान","मध्य प्रदेश"
"14","भारत के ऑपरेशन सिंदूर के जवाब में पाकिस्तान द्वारा शुरू किया गया ऑपरेशन का नाम क्या है?","बनयान अल-marsu","बनयान अल-खुर्द","बनयान अल-मूर्ख","बनयान अल-सुर्ख"
"15","रोहित शर्मा के टेस्ट क्रिकेट से संन्यास लेने की घोषणा के कुछ दिनों के बाद _______ ने यह फैसला लिया है।","आर अश्विन","जसप्रीत बुमराह","विराट कोहली","भुबनेश्वर कुमार"
"16","किस राज्य सरकार ने वरिष्ठ कलाकारों, कला विद्वानों के लिए 'पंडित लखमी चंद कलाकार सामाजिक सम्मान योजना' की घोषणा की है?","हरियाणा","राजस्थान","बिहार","मध्य प्रदेश"
"17","महिला सशक्तीकरण को बढ़ावा देने के लिए महिला-केंद्रित अभियान 'आदिशक्ति अभियान' शुरू करने को मंजूरी किस राज्य सरकार ने दिया है?","हरियाणा","राजस्थान","महाराष्ट्र","मध्य प्रदेश"
"18","लोकसभा अध्यक्ष ओम बिरला द्वारा लोक लेखा समिति (पीएसी) के अध्यक्ष के रूप में फिर से किसे नियुक्त किया गया है?","राहुल गांधी","मल्लिकार्जुन खड़गे","केसी वेणुगोपाल","तरुण गोगाई"
"19","2025 में कौन दुनिया भर में सबसे ज़्यादा बोली जाने वाली भाषा है?","अंग्रेजी","मंदारिन","हिंदी","स्पेनिश"
"20","_______ ने नई दिल्ली स्थित इंडिया हैबिटेट सेंटर (IHC) में 'भारत बोध केंद्र' का उद्घाटन किया।","मनोहर लाल खट्टर","अमित शाह","शिवराज सिंह चौहान","राजनाथ सिंह"
"21","शीर्षक 'पसंद का मामला: आर्टिफिशियल इंटेलिजेंस के युग में लोग और संभावनाएं' के साथ मानव विकास रिपोर्ट 2025 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. भारत की जीवन प्रत्याशा 2023 में 72 वर्ष, स्कूली शिक्षा के औसत वर्ष 13 वर्ष, GNI USD 9,046.76 हो गई है। 2. भारत 2023 मानव विकास सूचकांक में 0.685 स्कोर के साथ 130वें स्थान पर है। 3. आइसलैंड ने 0.972, नॉर्वे (0.970) और स्विट्जरलैंड - 0.970 स्कोर के साथ शीर्ष स्थान पर है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"22","भारत के महापंजीयक (आरजीआई) द्वारा जारी नमूना पंजीकरण प्रणाली रिपोर्ट 2014 से 2021 के संदर्भ में निम्नलिखित कथनों पर विचार कीजिए- 1. मातृ मृत्यु दर प्रति लाख जीवित जन्मों पर 130 से घटकर 93 हो गई है। 2. शिशु मृत्यु दर भी प्रति 1000 जीवित जन्मों पर 39 से घटकर 27 रह गई है। 3. नवजात मृत्यु दर में प्रति 1000 जीवित जन्मों पर 26 से घटकर 19 हो गई है। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"23","थीम - ""यंत्र - नई प्रौद्योगिकी, अनुसंधान और त्वरण को आगे बढ़ाने के लिए युगांतर"" के साथ राष्ट्रीय प्रौद्योगिकी दिवस कब मनाया गया?","10 मई","11 मई","12 मई","13 मई"
"24","भारत सरकार ने स्टार्टअप्स के लिए ऋण गारंटी योजना के अंतर्गत ऋण गारंटी को वर्तमान 10 करोड़ रुपये प्रति उधारकर्ता से बढ़ाकर कितना कर दिया है?","20 करोड़ रुपये","30 करोड़ रुपये","40 करोड़ रुपये","50 करोड़ रुपये"
