"question_no","question","1","2","3","4"
"01","भारत-मंगोलिया संयुक्त सैन्य अभ्यास के 17वें संस्करण, नोमाडिक एलीफेंट की शुरुआत कहाँ हुई है?","औंध","तशकांड","काकीनाडा","उलानबातर"
"02","पुस्तकों की सस्ती डिलीवरी के लिए डाक विभाग द्वारा शुरू की गई सेवा का नाम क्या है?","ज्ञान पोस्ट","सस्ता पोस्ट","घर पोस्ट","आपका पोस्ट"
"03","भारत का पहला अंडरवाटर म्यूज़ियम कहाँ बनेगा?","हुबली","कोच्चि","सिंधुदुर्ग","गवलीयर"
"04","अमरीकी संसद के उच्च सदन सीनेट ने राष्ट्रपति डॉनल्ड ट्रंप का बिग ब्यूटीफुल बिल पारित कर दिया है, इसका उद्देश्य क्या है?","सेना और सीमा सुरक्षा पर खर्च बढ़ाने का प्रावधान","अवसंरचना और सीमा सुरक्षा पर खर्च बढ़ाने का प्रावधान","सेना और वायु सुरक्षा पर खर्च बढ़ाने का प्रावधान","शिक्षा और रोजगार पर खर्च बढ़ाने का प्रावधान"
"05","“आदि कर्मयोगी” कार्यक्रम की शुरुआत किस मंत्रालय ने किया है?","केंद्रीय गृह मंत्रालय","केंद्रीय स्वास्थ्य कल्याण मंत्रालय","केंद्रीय शिक्षा मंत्रालय","केंद्रीय जनजातीय कार्य मंत्रालय"
"06","राष्ट्रीय उद्यानों और संरक्षित क्षेत्रों के प्रबंधन प्रभावशीलता मूल्यांकन 2020-2025 चक्र में भारत का सर्वोत्तम प्रदर्शन करने वाला राज्य किसे घोषित किया गया है?","उत्तराखंड","मध्य प्रदेश","कर्नाटक","केरल"
"07","विषय - 'राष्ट्रीय नमूना सर्वेक्षण के 75 वर्ष' के साथ राष्ट्रीय सांख्यिकी दिवस कब मनाया गया है?","26 जून","27 जून","28 जून","29 जून"
"08","भारत की विदेशी खुफिया एजेंसी रिसर्च एंड एनालिसिस विंग (रॉ) का नया प्रमुख किसे नियुक्त किया गया है?","रवि सिन्हा","पराग जैन","पराग पासवान","रवि राय"
"09","संयुक्त राष्ट्र बाल मृत्यु दर अनुमान रिपोर्ट के अनुसार भारत ने पांच वर्ष से कम आयु के बच्चों की मृत्यु दर में वैश्विक स्तर पर 61% की तुलना में % की कमी दर्ज की गई है।","70%","71%","73%","78%"
"10","रासोंग राष्ट्रीय आदिवासी संगीत महोत्सव किस राज्य में संपन्न हुआ है ?","मिजोरम","त्रिपुरा","असम","मेघालय"
"11","के अरलम वन में भारत का पहला तितली अभयारण्य का उद्घाटन किया गया है।","त्रिपुरा","असम","मेघालय","केरल"
"12","किस राज्य में बोनालू महोत्सव 2025 की शुरुआत 26 जून को पारंपरिक उत्साह और धार्मिक श्रद्धा के साथ हुई है ?","तेलंगाना","असम","मेघालय","केरल"
"13","अंतरराष्ट्रीय परमाणु ऊर्जा एजेंसी (IAEA) ने किस देश के सहयोग से सबसे बड़ा अंतरराष्ट्रीय परमाणु आपातकालीन अभ्यास ConvEx-3 शुरू किया है?","ओमान","हंगरी","रोमानिया","फ्रांस"
"14","$30 अरब की ब्रांड वैल्यू पार करने वाला भारत का पहला ब्रांड बन गया है।","रिलायंस","एचडीएफसी","टाटा समूह","महिंद्रा एंड महिंद्रा"
"15","भारतीय किसान उर्वरक सहकारी संस्था (IFFCO) ने में अपना पहला अंतरराष्ट्रीय नैनो उर्वरक निर्माण संयंत्र स्थापित करने की घोषणा की है।","ब्राज़ील","इंडोनेशिया","साउथ अफ्रीका","यूएसए"
"16","अंतरिक्ष स्टेशन पर पहुंचने वाले पहले ISRO अंतरिक्ष यात्री कौन बन गए हैं?","प्रशांत बी नायर","अजीत कृष्णन","अंगद प्रताप","शुभम शुक्ला"
