question_no,question,1,2,3,4,correct_answer
1, "Where is India's 1st Constitution Park developed?", "Pune", "Bangalore", "Hyderabad", "Mumbai", "Pune"
2, "Which state has mandated 33% reservations for women in govt contract jobs?", "Uttar Pradesh", "Karnataka", "Kerala", "Tamil Nadu", "Karnataka"
3, "What campaign was launched by Uttarakhand to combat forest fires?", "Green Uttarakhand", "Pirul Lao-Paise Lao", "Forest Fire Prevention", "Jungle Bachao", "Pirul Lao-Paise Lao"
4, "Which city became India's first police drone city?", "Delhi", "Mumbai", "Chennai", "Kolkata", "Chennai"
5, "Which state launched 'Mission Nischay' to combat drug supply and demand?", "Punjab", "Haryana", "Maharashtra", "Bihar", "Punjab"
6, "Where was the Om-shaped temple inaugurated?", "Pali", "Jaipur", "Udaipur", "Jodhpur", "Pali"
7, "Which state received GI tags for Sanjhi ceremonial craft and Kathiya gehu?", "Madhya Pradesh", "Uttar Pradesh", "Rajasthan", "Gujarat", "Uttar Pradesh"
8, "Which lake is located in Himachal Pradesh?", "Gepan Garth Lake", "Dal Lake", "Chandertal", "Pandoh Lake", "Gepan Garth Lake"
9, "Who is India's first transgender sarpanch, now a Lok Sabha candidate?", "Durga Bai Majhwar", "Shobha Yadav", "Laxmi Narayan", "Gauri Sawant", "Durga Bai Majhwar"
10, "Which city became the 4th Indian Craft city after Jaipur, Malappuram, and Mysore?", "Ahmedabad", "Surat", "Srinagar", "Bhopal", "Srinagar"
11, "Where is India's 1st multipurpose green hydrogen pilot project located?", "Himachal Pradesh", "Madhya Pradesh", "Gujarat", "Rajasthan", "Himachal Pradesh"
12, "Where did Cyclone Gamane hit?", "India", "Madagascar", "Sri Lanka", "Bangladesh", "Madagascar"
13, "Which railway station in Jammu & Kashmir was renamed to Tushar Mahajan?", "Jammu", "Srinagar", "Udhampur", "Anantnag", "Udhampur"
14, "Where is Utkela Airport located?", "Odisha", "Karnataka", "Maharashtra", "Andhra Pradesh", "Odisha"
15, "Who is the chairman of the IRDAI?", "Ajit Doval", "Debashish Panda", "P.K. Mishra", "Amitabh Kant", "Debashish Panda"
16, "Which city launched 'Booth Rabta' to bridge the gap between voters and election authorities?", "Chandigarh", "Amritsar", "Ludhiana", "Patiala", "Punjab"
17, "Who is the principal secretary to PM Modi?", "Ajit Doval", "P.K. Mishra", "Kapil Sibal", "Sanjay Bhalla", "P.K. Mishra"
18, "Who is India's National Security Advisor?", "Ajit Doval", "Sanjay Nayar", "P.K. Mishra", "N. Chandrababu Naidu", "Ajit Doval"
19, "Which state launched the Mukhymantri Majhi Ladki Behan scheme?", "Maharashtra", "Gujarat", "Rajasthan", "Karnataka", "Maharashtra"
