"question_no","question","1","2","3","4"
"01.","निम्नलिखित में से कौन से सात बड़ी बिल्लियाँ हैं जिन्हें अंतर्राष्ट्रीय बिग कैट एलायंस (IBCA) संरक्षित करने का लक्ष्य रखता है?","बाघ, शेर, तेंदुआ, हिम तेंदुआ, चीता, जगुआर और प्यूमा","बाघ, शेर, तेंदुआ, हिम तेंदुआ, तेंदुआ, कौगर और लिंक्स","शेर, तेंदुआ, हिम तेंदुआ, चीता, जगुआर, प्यूमा और कौगर","बाघ, शेर, तेंदुआ, तेंदुआ, हिम तेंदुआ, जगुआर और लिंक्स"
"02.","फरीदाबाद में 38वां सूरजकुंड अंतर्राष्ट्रीय शिल्प मेले का आयोजन में थीम स्टेट कौन होगा?","झारखंड और मध्य प्रदेश","उड़ीसा और मध्य प्रदेश","छत्तीसगढ़ और मध्य प्रदेश","उड़ीसा और राजस्थान"
"03.","किस भारतीय-अमेरिकी ने एल्बम 'त्रिवेणी' के लिए बेस्ट न्यू एज, एम्बिएंट या चैंट एल्बम श्रेणी में ग्रैमी पुरस्कार जीता है?","चंद्रिका टंडन","बियॉन्से लॉरेंस","रिकी केज","अनुष्का शंकर"
"04.","चिकित्सा प्रयोगशाला प्रौद्योगिकी और स्वास्थ्य सेवा नवाचार से जुड़े 24वीं मेडलैब मिडिल ईस्ट प्रदर्शनी का आयोजन कहाँ किया गया है?","रियाद","कतर","दुबई","शारजाह"
"05.","भारतीय सेना और राष्ट्रीय रक्षा बल के बीच 13वां संयुक्त सैन्य अभ्यास 'एकुवेरिन' शुरू हो गया है।","मालदीव","नेपाल","भूटान","म्यांमार"
"06.","किस देश कि फास्ट-फैशन ब्रांड शीन एप 5 साल बाद भारत में लॉन्च हुई है?","जर्मनी","चीन","फ्रांस","इटली"
"07.","वर्ल्ड पैरा-आर्म रेसलिंग कप 2025 में भारत के नंबर वन पैरा-एथलीट श्रीमंत झा ने कौन सा मेडल जीता है?","स्वर्ण पदक","रजत पदक","कांस्य पदक","NOTA"
"08.","वित्त मंत्री निर्मला सीतारमण ने 2025 तक लगातार कितने बजट पेश किए हैं?","छह","सात","आठ","नौ"
"09.","आकाशवाणी ने शास्त्रीय संगीत श्रृंखला 'हर कंठ में भारत' के लिए किस मंत्रालय के साथ हाथ मिलाया है?","संस्कृति मंत्रालय","दूरसंचार मंत्रालय","पर्यटन मंत्रालय","शिक्षा मंत्रालय"
"10.","नागरिक उड्डयन मंत्रालय के तहत नागरिक उड्डयन सुरक्षा ब्यूरो (BCAS) के महानिदेशक (DG) के रूप में किसे नियुक्त किया गया है?","राजेश निर्वाण","देवजीत सैकिया","प्रभतेज सिंह भाटिया","आशीष शेलार"
"11.","नई दिल्ली विश्व पुस्तक प्रदर्शनी 2025 का उद्घाटन किसने किया ?","राष्ट्रपति श्रीमती द्रौपदी मुर्मू","प्रधानमंत्री नरेंद्र मोदी","उपराष्ट्रपति जगदीप धनकर","गृह मंत्री अमित शाह"
"12.","‘चक्रीय अर्थव्यवस्था पर राष्ट्रीय कार्यशाला' का आयोजन कहाँ किया गया है ?","नई दिल्ली","जयपुर","इंदौर","जैसलमेर"
"13.","अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्प ने 1 फरवरी से कनाडा और मेक्सिको के अलावा अन्य किस देश पर एक्स्ट्रा टैरिफ लगा दिया है?","जापान","चीन","पनामा","भारत"
"14.","देश का पहले वर्टिकल लिफ्टअप ब्रिज का ट्रेन ट्रायल कहाँ हुआ है?","रामेश्वरम","हुगली","श्रीनगर","पुरी"
"15.","'स्वरेल' सुपरऐप का शुभारंभ किसके द्वारा किया गया है?","रेल मंत्रालय","गृह मंत्रालय","शिक्षा मंत्रालय","कृषि मंत्रालय"
"16.","7-14 फरवरी 2025 तक 9वें एशियाई शीतकालीन खेलों की मेजबानी कौन सा देश करेगा?","जापान","चीन","पनामा","भारत"
"17.","और स्मृति मंधाना को 2023-24 में अच्छे प्रदर्शन के लिए महिला और पुरुष कैटेगरी में सर्वश्रेष्ठ इंटरनेशनल क्रिकेटर के लिए पॉली उमरीगर अवॉर्ड दिया जाएगा।","रोहित शर्मा","विराट कोहली","अभिषेक शर्मा","जसप्रीत बुमराह"
"18.","कॉमनवेल्थ गेम्स के स्वर्ण पदक विजेता मनोज कुमार ने संन्यास लेने की घोषणा की है, उनका संबध किस क्षेत्र से है?","हॉकी","मुक्केबाज","बैडमिंटन","शतरंज"
"19.","हाल ही में जोड़े गए नए रामसर स्थलों के संदर्भ में ग़लत मिलान कि पहचान कीजिए -","तमिलनाडु - सक्करकोट्टई पक्षी अभयारण्य","तेलंगाना - थेर्थंगल पक्षी अभयारण्य","सिक्किम - खेचोपलरी आर्द्रभूमि","झारखंड - उधवा झील"
"20.","अफ्रीका महाद्वीप में त्वचा और आंखों की गंभीर बीमारी ऑन्कोसेरसियासिस को खत्म करने वाला पहला देश कौन बना है?","कोलंबिया","इक्वाडोर","ग्वाटेमाला","नाइजर"
"21.","भारत की पहली हाइड्रोजन-ट्रांसपोर्ट पाइप विकसित की करने वाली कंपनी कौन बन गई है?","टाटा स्टील","JSW","Adani Energy","Reliance Energy"
"22.","पहला रायसीना मध्य पूर्व सम्मेलन, 28 और 29 जनवरी 2025 को कहाँ आयोजित किया गया ?","रियाद","कतर","शारजाह","अबू धाबी"
"23.","5 घंटे 26 मिनट की स्पेसवॉक (अंतरिक्ष में चहलकदमी) पूरी कर स्पेसवॉक का नया रिकॉर्ड किसने बनाया है ?","बुच विल्मोर","सुनीता विलियम्स","पैगी व्हिटसन","जेफ बेजोस"
"24.","'गरिमा से मृत्यु का अधिकार' लागू करने वाला भारत का पहला राज्य कौन बन गया है?","तमिलनाडु","तेलंगाना","कर्नाटक","केरेला"
"25.","आर्थिक सर्वेक्षण 2024-25 के अनुसार वित् वर्ष 2025-26 में भारत की GDP का वृद्धि दर कितना रहने का अनुमान है?","6.3-6.8%","6.6-6.8%","6.9-7.8%","7.3-6.8%"
"26.","हाल ही में किस इंडियन एयरफोर्स (IAF) कैप्टन ऑफिसर को नासा के एग्जियम मिशन के लिए चुना गया है?","पैगी व्हिटसन","शुभांशु शुक्ला","अंगद प्रताप","अजीत कृष्णन"
"27.","हाल ही में किस पूर्व भारतीय क्रिकेटर को BCCI लाइफटाइम अचीवमेंट अवार्ड प्रदान किया गया है ?","Saurav Ganguly","Rahul dravid","Anil Kumble","Sachiin Tendulkar"
"28.","हाल ही में गृह मंत्रालय ने सूखा प्रभावित इलाकों के लिए कितने की परियोजनाएं मंजूर की है?","1,027.86 करोड़ रुपए","2,027.86 करोड़ रुपए","3,027.86 करोड़ रुपए","4,027.86 करोड़ रुपए"
"29.","किस देश को पराजित कर भारत ने आईसीसी अंडर-19 महिला टी-20 क्रिकेट विश्व कप का खिताब जीत लिया है?","श्रीलंका","दक्षिण अफ्रीका","बांग्लादेश","पाकिस्तान"
"30.","टाटा स्टील मास्टर्स 2025 का खिताब किसने जीता है?","विज्क आन ज़ी","आर. प्रज्ञाननंदा","डी. गुकेश","विश्वनाथन आनंद"
"31.","खेलो इंडिया विंटर गेम्स 2025 के संदर्भ में कथनों पर विचार कीजिए- 1. खेलो इंडिया विंटर गेम्स (KIWG) 2025 का आयोजन लेह, लद्दाख में हुआ। 2. लद्दाख ने कुल 7 पदक (4 स्वर्ण सहित) जीतकर पदक तालिका में पहला स्थान हासिल किया। 3. तमिलनाडु, महाराष्ट्र पदक तालिका में क्रमश: दूसरे और तीसरे स्थान पर रहा। उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
