"question_no","question","1","2","3","4"
"1","बिहार कैबिनेट द्वारा ग्रामीण कल्याण पहल को मंजूरी दी गई, इस संदर्भ में निम्नलिखित कथनों पर विचार कीजिए-

सामाजिक सुरक्षा योजनाओं के अंतर्गत पेंशन की राशि को ₹400 से बढ़ाकर ₹11,00 कर दिया गया है।

मनरेगा के अंतर्गत ग्राम पंचायत द्वारा अनुमोदित वही सीमा को 5 लाख बढ़ाकर 10 लाख कर दिया गया है।

प्रखंड स्तर कार्यालय और जिला मुख्यालयों में जीविका दीदी रसोई इकाइयों के संचालन को मंजूरी दी गई।
उपर्युक्त कथनों में से कौन सा/से सत्य है/हैं?","केवल 1","केवल 1 और 2","केवल 2 और 3","उपरोक्त मे से सभी सही है।"
"2","किस राज्य सरकार ने 'मुख्यमंत्री कन्या विवाह मंडप योजना' को मंजूरी में दी है?","अरुणाचल प्रदेश","आंध्र प्रदेश","केरला","बिहार"
"3","सीएम नीतीश कुमार द्वारा “बिक्रम लॉक केनाल बैंक सौर ऊर्जा परियोजना” का उद्घाटन कहाँ किया गया है?","गया","नालंदा","पटना","रोहतास"
"4","हाल ही में निम्नलिखित में से किस उत्पाद को 'एचएस कोड' मिला है ?","मगही पान","जर्दालु आम","लीची","मखाना"
"5","बिहार में प्रस्तावित “आर्डिनेंस फैक्ट्री कॉरिडोर” में कौन सा जिला शामिल नहीं है?","मुंगेर","कैमूर","बांका","जहानाबाद"
"6","बिहार जैव ईंधन उत्पादन संवर्द्धन (संशोधित) नीति 2025 का उद्देश्य क्या है?","निजी निवेश को प्रोत्साहित करना","जैव ऊर्जा उत्पादन में वृद्धि करना","नवीकरणीय ऊर्जा लक्ष्य प्राप्ति में तेजी लाना","उपरोक्त में से सभी"
"7","बिहार शहरी स्थानीय निकायों के चुनाव के लिए ई वोटिंग प्रणाली लागू करने वाला राज्य बन गया है?","पहला","दूसरा","तीसरा","चौथा"
"8","हाल ही में किस स्थान पर पवित्र पुष्करणी तालाब एवं पौराणिक मिट्टी स्तूप के निकट सम्यक दर्शन संग्रहालय का निर्माण किया गया है?","वैशाली","पटना","गया","नालंदा"
"9","हाल ही में आम महोत्सव 2025 का आयोजन कहा किया गया है?","वैशाली","पटना","गया","नालंदा"
"10","किस केंद्रीय मंत्री ने ईस्टर्न रीजन पॉवर मिनिस्टर्स कांफ्रेंस के दौरान बिहार में न्यूक्लियर पॉवर प्लांट स्थापित करने की सहमति प्रदान की है?","राजीव प्रताप रूडी","मनोहर लाल खट्टर","अमित शाह","राजीव रंजन सिंह"
"11","साहित्य अकादमी द्वारा मैथिली भाषा में साहित्य अकादमी युवा पुरस्कार 2025 से सम्मानित किया गया है?","महेंद्र मलिंग्या","नेहा झा मणि","कुणाल सिंह","अनुराग झा"
"12","92% online OPD पंजीकरण के साथ “स्कैन एंड शेयर QR कोड सुविधा” का उपयोग मामले में कौन सा राज्य शीर्ष पर है?","बिहार","उत्तर प्रदेश","आंध्र प्रदेश","झारखंड"
"13","लोकसभा अध्यक्ष ओम बिरला ने 20 जनवरी कहाँ पर 85वें अखिल भारतीय पीठासीन अधिकारी सम्मेलन (AIPOC) का उद्घाटन किया है?","नई दिल्ली","पटना","रायपुर","जयपुर"
"14","नमामि गंगे मिशन ने बिहार की सांस्कृतिक और आध्यात्मिक धरोहर के संरक्षण और पुनर्जीवन के लिए एक नई पहल की शुरुआत की है।","पुनपुन नदी","सोन नदी","गंडक नदी","फल्गु नदी"
"15","कौन सा राज्य ग्रामीण क्रिकेट लीग शुरू करने वाला पहला राज्य बना है?","झारखंड","बिहार","उड़ीसा","पश्चिम बंगाल"
"16","कोसी मेची अंतरराज्यीय लिंक परियोजना को मार्च, 2029 तक पूरा करने के लिए बिहार को कितना करोड़ रुपये की केंद्रीय सहायता को भी स्वीकृति दी है?","7,282.32 करोड़ रुपये","6,282.32 करोड़ रुपये","4,652.56 करोड़ रुपये","3,652.56 करोड़ रुपये"
"17","हाल ही में किस राज्य सरकार ने महिला आरक्षण में डोमिसाइल लागू करने की घोषणा किया है?","बिहार","राजस्थान","झारखंड","उत्तर प्रदेश"
"18","मुख्यमंत्री नीतीश कुमार ने महिलाओं के लिए पिंक बस की सेवा पटना, मुजफ्फरपुर, भागलपुर, दरभंगा और में शुरू की गई है।","पूर्णिया","बेगूसराय","गया जी","खगारड़िया"
"19","मुख्यमंत्री नीतीश कुमार ने गया में मेजर ध्यानचंद खेल परिसर का उद्घाटन कहाँ किया है ?","पूर्णिया","बेगूसराय","गया जी","पटना"
"20","बिहार में नागरिक सुरक्षा मॉक ड्रिल कितने जिलों में हुआ है?","4","5","6","7"
